Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
limpki,Limpkin,Aramus guarauna,2021-07-31 20:19,1.0,27.0835658,-82.1117096,S92578720,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 19:54,1.0,27.8033571,-81.1988139,S92583633,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 19:35,4.0,28.37152,-81.550766,S92576788,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 19:33,1.0,27.8256605,-81.2182117,S92583985,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 19:00,2.0,28.6398772,-81.3094394,S92581282,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 17:21,1.0,28.5326928,-81.3707113,S92585434,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 16:49,1.0,27.1155236,-80.2788916,S92582701,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 15:22,1.0,28.7028161,-81.2854654,S92564415,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 15:00,1.0,27.2841779,-82.4645682,S92578651,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 14:40,5.0,26.4986442,-80.2246141,S92564502,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 14:09,1.0,26.2169038,-81.8174797,S92580160,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 11:27,1.0,29.6704686,-81.4994637,S92558609,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 11:09,1.0,28.0922,-82.7067,S92558187,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 11:08,1.0,27.4193845,-82.554394,S92548983,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 10:48,6.0,27.9426789,-81.2050366,S92554307,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 10:29,1.0,27.8398,-82.6705,S92549532,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:50,3.0,27.3948028,-82.4302429,S92559106,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:37,1.0,27.2567365,-82.493248,S92544292,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:33,1.0,28.5836,-81.3586,S92551194,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:31,2.0,26.4861584,-80.1607561,S92552971,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:28,1.0,28.0725,-82.3754,S92556559,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:15,1.0,27.385084,-81.002682,S92542975,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 09:01,4.0,29.6151026,-82.3254061,S92549027,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 08:27,2.0,28.7040172,-81.6730338,S92557610,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 08:27,1.0,26.5052081,-80.1399958,S92543862,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 08:26,1.0,26.294125,-81.4860487,S92540306,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 07:55,4.0,28.8032791,-82.0169592,S92542528,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 07:53,1.0,27.7881373,-82.6414776,S92543652,1,2021,7,31,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-31 07:50,4.0,25.776121,-80.2030056,S92561394,1,2021,7,31,Aramidae
